phenotype1	phenotype2	lin
Tarsal osteovalgus	Episodic vomiting	4.8726132196001617e-05
Multiple unerupted teeth	Hyperapobetalipoproteinemia	4.1527089114850486e-05
Dysmyelinating leukodystrophy	Stage 1 chronic kidney disease	4.325406564155514e-05
Broad philtrum	Peripheral cystoid retinal degeneration	4.771461865001634e-05
Premature atrial contractions	Coronal hypospadias	4.63062709617351e-05
Severe failure to thrive	Vascular ring	4.697961363490384e-05
Nail pits	Decreased body mass index	4.6048912897620735e-05
Tongue telangiectasia	Impaired ocular abduction	4.63062709617351e-05
Acute necrotizing encephalopathy	Neuromyotonia	0.0626148311730584
Moderately short stature	Reduced factor IX activity	4.8463948876835354e-05
Glandular hypospadias	Pyoderma	4.859730955435237e-05
Low-frequency sensorineural hearing impairment	Paradoxical respiration	4.1527089114850486e-05
Cavernous hemangioma of the face	Macular flecks	4.1527089114850486e-05
Agoraphobia	Premature loss of primary teeth	4.513091349926087e-05
Anterior sacral meningocele	Alcoholism	4.325406564155514e-05
Shoulder flexion contracture	Crowded maxillary incisors	4.5130913499260864e-05
Hypothalamic hamartoma	Hypoplasia of the olfactory bulb	0.1999684188866928
Bell-shaped thorax	Venous malformation	5.434348495495777e-05
Sudden loss of visual acuity	Impaired lymphocyte transformation with phytohemagglutinin	0.00010875500214216927
3-Methylglutaconic aciduria	Recurrent bronchiolitis	5.000878978756325e-05
Vacuolated lymphocytes	Cachexia	5.27797715776623e-05
Anarthria	Agyria	0.08097992866869949
Distal tapering femur	Wrist pain	0.0867244279621884
Acral ulceration	Late-onset spinocerebellar degeneration	4.5130913499260864e-05
Periorbital hyperpigmentation	Decreased mitochondrial complex III activity in liver tissue	4.325406564155514e-05
Absent pubic hair	EMG: myokymic discharges	0.00010181308346727092
Congenital exfoliative erythroderma	Downgaze palsy	7.98654433909015e-05
Elevated circulating growth hormone concentration	Dyspepsia	0.00010376994962935547
White eyebrow	Impaired sensitivity to thyroid hormone	5.052257145344946e-05
Small cervical vertebral bodies	Recurrent infections in infancy and early childhood	4.325406564155514e-05
Hyperkinetic movements	Decreased sensory nerve conduction velocity	0.1122385122928864
Periorbital hyperpigmentation	Linear nevus sebaceous	0.18577029247140714
Intractable diarrhea	Progressive cerebellar ataxia	5.527319809339079e-05
Chronic calcifying pancreatitis	Decreased activity of mitochondrial complex I	0.00014516132744613874
Premature loss of permanent teeth	Dark choroid	4.384100649655963e-05
High forehead	Duodenal stenosis	6.132146095340486e-05
Failure to thrive in infancy	Increased antimullerian hormone level	0.00013377166185093035
Multiple lentigines	Protanomaly	4.676934355271362e-05
Shoulder flexion contracture	Calf muscle hypertrophy	0.2593404415287698
Cervical ribs	Large knee	0.10372250572261107
Autoimmune thrombocytopenia	Episodic ketoacidosis	5.420496616525175e-05
Bronchiectasis	Gonadal tissue inappropriate for external genitalia or chromosomal sex	5.398937804600151e-05
Pili torti	Cholesteatoma	5.258480685017681e-05
Angulated humerus	Type D brachydactyly	0.17122362674433322
Pseudopapilledema	Pulmonary bulla	4.513091349926087e-05
Global brain atrophy	Dislocated wrist	4.982193529809303e-05
Cardiomegaly	Elevated circulating creatinine concentration	6.921066923451321e-05
Spontaneous, recurrent epistaxis	Periodic hyperkalemic paralysis	4.717802693158188e-05
Pulmonary hypoplasia	Lack of T cell function	5.37248383520005e-05
Deficit in phonologic short-term memory	Adenomatous colonic polyposis	4.818212141725109e-05
Abetalipoproteinemia	Abdominal aortic calcification	3.993272169545075e-05
Thick upper lip vermilion	Bruising susceptibility	7.13690903601984e-05
Generalized morning stiffness	Palilalia	4.1527089114850486e-05
Nonketotic hypoglycemia	Congenital alveolar dysplasia	4.1527089114850486e-05
Fibrocystic lung disease	Decreased circulating dihydrotestosterone concentration	3.993272169545075e-05
Follicular hyperplasia	Macular hyperpigmentation	4.754448578692532e-05
Expressive aphasia	Gluten intolerance	8.650813128311028e-05
Aspiration	Lower eyelid retraction	4.7365940235228194e-05
Peripheral thrombosis	Decreased hip abduction	4.676934355271362e-05
Distal tibial bowing	Quadricuspid aortic valve	3.993272169545075e-05
Block vertebrae	EMG: myopathic abnormalities	0.08662047729901008
Long face	Left ventricular diastolic dysfunction	6.04572387719515e-05
Factor X activation deficiency	Eruptive vellus hair cyst	7.98654433909015e-05
Acrocyanosis	Early satiety	4.5130913499260864e-05
Small anterior fontanelle	Buphthalmos	5.3190049680399243e-05
Facial grimacing	Oral motor hypotonia	4.676934355271362e-05
Elevated circulating parathyroid hormone level	Low levels of vitamin K	0.17342089690631582
Xanthine nephrolithiasis	Pulmonary edema	4.803278487698834e-05
Absent lacrimal punctum	Late-onset proximal muscle weakness	4.754448578692532e-05
Large forehead	Pulmonary venous occlusion	5.000878978756325e-05
Corneal crystals	Severe expressive language delay	4.2520165072717376e-05
Rotary nystagmus	Adrenocorticotropic hormone excess	4.920200344776741e-05
Malignant hyperthermia	Generalized amyloid deposition	0.17342089690631582
Generalized aminoaciduria	Congenital generalized lipodystrophy	4.475678658742209e-05
Degeneration of anterior horn cells	Colpocephaly	0.17645786420024603
Pulmonary hypoplasia	Lack of T cell function	5.37248383520005e-05
Crescentic glomerulonephritis	Increased urinary 8-oxo-7,8-dihydroguanosine level	0.2654527338289604
Helicobacter pylori infection	Adult onset sensorineural hearing impairment	4.513091349926087e-05
Periodic hyperkalemic paralysis	Secondary esotropia	4.1527089114850486e-05
Osteomalacia	Periglomerular fibrosis	4.697961363490384e-05
Decreased pyruvate carboxylase activity	Pulmonary artery sling	4.513091349926087e-05
Homocystinuria	Nonprogressive cerebellar ataxia	4.9202003447767416e-05
Occipital myelomeningocele	Lip hyperpigmentation	7.98654433909015e-05
Multiple mitochondrial DNA deletions	Induced vaginal delivery	0.00011020149170675073
Occipital myelomeningocele	Cold-induced sweating	3.993272169545075e-05
Enlargement of the ankles	Hepatic calcification	0.09670518559853628
Polycystic kidney dysplasia	Renal steatosis	0.3690524782710148
Dysmyelinating leukodystrophy	Muscular edema	8.650813128311028e-05
Cryptophthalmos	Recurrent sinopulmonary infections	5.2920671440384854e-05
Focal segmental glomerulosclerosis	Lack of insight	5.535724358328559e-05
Spastic tetraplegia	Incisional hernia	0.07934707508014904
Absent pulmonary artery	Decreased serum estradiol	4.8463948876835354e-05
Fetal akinesia sequence	Aortic rupture	5.0522571453449456e-05
Congenital sensorineural hearing impairment	Ectopia of the spleen	4.885073886735671e-05
Decreased activity of NADPH oxidase	Episodic ketoacidosis	0.16168556784678761
Absence of pectoralis minor muscle	Decreased circulating progesterone	4.325406564155514e-05
Peters anomaly	Abnormality of central somatosensory evoked potentials	5.018735786356822e-05
Humoral immunodeficiency	Acetabular dysplasia	0.00011409314288627747
Decreased numbers of nephrons	Narrow nasal base	4.2520165072717376e-05
Poor wound healing	Degeneration of anterior horn cells	5.66941319881255e-05
Episodic flaccid weakness	Acute promyelocytic leukemia	4.2520165072717376e-05
Osteoarthritis of the distal interphalangeal joint	Airway hyperresponsiveness	3.993272169545075e-05
Papillary renal cell carcinoma type 2	Enuresis nocturna	0.45166357657043527
Lower limb hypertonia	Abnormally straight spine	0.1668072037321016
Sensorimotor neuropathy	Large knee	5.009905952003411e-05
Polyuria	Astereognosia	5.009905952003411e-05
Flat cornea	Apocrine hidrocystoma	4.384100649655963e-05
Prolonged G2 phase of cell cycle	Encopresis	4.513091349926087e-05
Hypsarrhythmia	Interphalangeal joint erosions	5.65639326876933e-05
Absence of Stensen duct	Limb-girdle muscular dystrophy	4.8463948876835354e-05
Impaired lymphocyte transformation with phytohemagglutinin	Acetabular dysplasia	5.568006858401274e-05
Transitional cell carcinoma of the bladder	Epididymal cyst	0.16633709958160903
Increased serum serotonin	Severe intrauterine growth retardation	4.897141782007609e-05
Lack of spontaneous play	Gastric adenocarcinoma	4.8463948876835354e-05
Fasting hyperinsulinemia	Decreased 3-hydroxyacyl-CoA dehydrogenase level	0.14823761441060704
Keratoconjunctivitis sicca	Recurrent patellar dislocation	5.222176751133227e-05
Single umbilical artery	Occipital myelomeningocele	4.9312355433677e-05
Progressive visual field defects	5-minute APGAR score of 1	3.993272169545075e-05
Episodic hyperhidrosis	Immune dysregulation	4.754448578692532e-05
Hypoplasia of the lacrimal punctum	Nonketotic hyperglycinemia	4.1527089114850486e-05
Chronic oral candidiasis	Upbeat nystagmus	4.676934355271362e-05
Anisopoikilocytosis	High iliac wing	4.433252921306609e-05
White forelock	Osteosclerosis of the base of the skull	4.94196762868381e-05
Angina pectoris	Renal artery stenosis	0.17843940094634905
Type E brachydactyly	Delayed umbilical cord separation	4.697961363490384e-05
Hypoplasia of the frontal bone	Diffuse hepatic steatosis	4.1527089114850486e-05
Prolonged whole-blood clotting time	Limb fasciculations	4.577027209409902e-05
Gingival fibromatosis	Absence of alpha granules	4.63062709617351e-05
Accelerated bone age after puberty	Chylopericardium	8.650813128311028e-05
Tethered cord	Dysgammaglobulinemia	5.232854831112207e-05
Mutism	Athetoid cerebral palsy	0.08885756158178762
Curly hair	Aortic root aneurysm	6.513072654764839e-05
Decreased methylcobalamin	Simplified gyral pattern	6.0334508041036075e-05
Galactose intolerance	Diaphragmatic eventration	4.754448578692532e-05
Episodic paroxysmal anxiety	Broad femoral neck	5.145602326461534e-05
Large sella turcica	Thickened aortic valve cusp	4.577027209409902e-05
Schistocytosis	Achlorhydria	4.5130913499260864e-05
Acral ulceration	Periglomerular fibrosis	4.5130913499260864e-05
Testicular atrophy	Posterior embryotoxon	5.6736828533670213e-05
Exercise-induced myoglobinuria	Renotubular dysgenesis	0.20601334607209176
Sinus bradycardia	Anorexia	5.647530993380748e-05
Absence of lymph node germinal center	Intramuscular hematoma	4.577027209409902e-05
Facial myokymia	Impaired memory B cell generation	4.63062709617351e-05
Vesicovaginal fistula	Hypnagogic hallucinations	4.513091349926087e-05
Macular hyperpigmented dermopathy	Upgaze palsy	4.1527089114850486e-05
Episodic tachypnea	Congenital nephrotic syndrome	4.475678658742209e-05
Pancreatic hypoplasia	Bitemporal hemianopia	0.0001072135125263395
Dysplastic aortic valve	Primary hyperparathyroidism	4.897141782007609e-05
Steatorrhea	Atypical or prolonged hepatitis	0.16727948637201034
Short chin	Flat face	0.2013810839999339
Prominent sternum	Motor regression	5.4736734480720864e-05
Aqueductal stenosis	Agenesis of the diaphragm	4.8463948876835354e-05
Glossoptosis	Hyposthenuria	5.164509580017892e-05
High-output congestive heart failure	Recurrent Serratia marcescens infections	4.513091349926087e-05
Babinski sign	Lymphocytic interstitial pneumonia	6.311943539413642e-05
Steatorrhea	Orthokeratotic hyperkeratosis	5.512990542636853e-05
Cryptophthalmos	Increased circulating ferritin concentration	5.6607690444732815e-05
Long penis	Nevus comedonicus	4.5130913499260864e-05
Short neck	Congenital pyloric atresia	6.530298947121371e-05
Prune belly	Pulmonary capillary hemangiomatosis	4.63062709617351e-05
Angulated humerus	Hypoplastic nasal bridge	4.2520165072717376e-05
Basal ganglia gliosis	Severe intrauterine growth retardation	4.7178026931581885e-05
Episodic abdominal pain	B Acute Lymphoblastic Leukemia	4.433252921306609e-05
Peripheral pulmonary vessel aplasia	Patellar aplasia	4.717802693158188e-05
Bipolar affective disorder	Hypoplasia of the premaxilla	4.818212141725109e-05
Bilateral postaxial polydactyly	Labial melanotic macule	4.1527089114850486e-05
Subependymal cysts	Decreased circulating dehydroepiandrosterone-sulfate concentration	0.00010181308346727092
Cervical instability	Central core regions in muscle fibers	0.06719850198306114
Weak cry	Macrogyria	5.331903917150742e-05
Nasal congestion	Decreased circulating luteinizing hormone level	5.319004968039925e-05
Autoimmune hemolytic anemia	Prolonged partial thromboplastin time	0.339842596093951
Glandular hypospadias	Postaxial polydactyly type A	4.697961363490384e-05
Eczematoid dermatitis	Malrotation of colon	4.8463948876835354e-05
Situs inversus totalis	Wide humerus	5.170632094018209e-05
Elevated urinary delta-aminolevulinic acid	Relative macrocephaly	5.846917057817124e-05
Low-set, posteriorly rotated ears	Congenital blindness	5.4544084512378e-05
Overgrowth	Small proximal tibial epiphyses	4.952414116553882e-05
Smooth philtrum	Coronary artery stenosis	6.058836588309964e-05
Hypoplasia of first ribs	Recurrent subcortical infarcts	4.433252921306609e-05
Internal carotid artery hypoplasia	Acral blistering	4.433252921306609e-05
Prominent nasal bridge	Morgagni diaphragmatic hernia	5.476811755106632e-05
Limb ataxia	Midline liver	5.164509580017892e-05
Interphalangeal joint erosions	Honeycomb lung	4.325406564155514e-05
Generalized ichthyosis	Bronchogenic cyst	9.435605386316377e-05
Elevated circulating parathyroid hormone level	Nasal regurgitation	4.920200344776741e-05
Hypogeusia	Broad skull	0.10495876335840741
Bifid uvula	No social interaction	5.818309856621895e-05
Poor eye contact	Cervical segmentation defect	5.467335855409396e-05
Absent speech	Hamstring contractures	6.61459998684456e-05
Distal tapering femur	Tonic pupil	4.2520165072717376e-05
Polycystic kidney dysplasia	Benign genitourinary tract neoplasm	0.17769451250846333
Atypical neurofibromatosis	Arterial occlusion	8.650813128311028e-05
Abnormal speech discrimination	Concentric hypertrophic cardiomyopathy	4.885073886735671e-05
Short femur	Reduced protein C activity	5.292067144038486e-05
Pyropoikilocytosis	Peripheral pulmonary artery stenosis	4.8971417820076086e-05
Hand tremor	Papillary thyroid carcinoma	5.575766213599954e-05
Glenoid fossa hypoplasia	D-2-hydroxyglutaric aciduria	4.433252921306609e-05
Phimosis	Impaired gluconeogenesis	4.697961363490384e-05
Decreased sweating due to autonomic dysfunction	Orchitis	3.993272169545075e-05
Primary hypercortisolism	Peripheral tractional retinal detachment	4.325406564155514e-05
Pyoderma	Facial flushing after alcohol intake	0.17186191920096122
Decreased testicular size	Finger swelling	5.868207813992508e-05
Elevated urinary norepinephrine	Hip osteoarthritis	5.164509580017892e-05
Glyoxalase deficiency	Fibroadenoma of the breast	4.513091349926087e-05
Intestinal lymphangiectasia	Primary hyperparathyroidism	4.972512993112043e-05
External ear malformation	Increased corneal thickness	4.325406564155514e-05
Accelerated atherosclerosis	Enlarged vestibular aqueduct	4.433252921306609e-05
Pelvic kidney	Neoplasm of the urethra	0.5184498864074948
Microvesicular hepatic steatosis	Elbow ankylosis	5.232854831112207e-05
Congenital horizontal nystagmus	Dysplastic testes	3.993272169545075e-05
Crowded maxillary incisors	Umbilical cord hematoma	7.98654433909015e-05
Microvesicular hepatic steatosis	Quadriceps muscle weakness	5.232854831112207e-05
Episodic hyperhidrosis	Simple ear	5.009905952003411e-05
Wide nasal bridge	Granular corneal dystrophy	5.919576151454689e-05
Pulmonary artery sling	Patellar subluxation	4.513091349926087e-05
Thenar muscle atrophy	Recurrent oral herpes	5.139110160925746e-05
Nocturnal hypoventilation	Decreased 3-hydroxyacyl-CoA dehydrogenase level	4.676934355271362e-05
Mild conductive hearing impairment	Cartilaginous ossification of larynx	8.650813128311028e-05
Projectile vomiting	Reduced maximal inspiratory pressure	9.719461910870474e-05
Valgus hand deformity	Mandibular osteolysis	3.993272169545075e-05
Wide mouth	Limited mobility of proximal interphalangeal joint	5.5706064678844533e-05
Short femur	Vascular ring	5.18262354732069e-05
Frontal lobe dementia	Left atrial isomerism	4.384100649655963e-05
Reduced xanthine dehydrogenase level	Ebstein anomaly of the tricuspid valve	4.676934355271362e-05
Blepharophimosis	Pseudobulbar paralysis	6.651598237165651e-05
Arterial fibromuscular dysplasia	Decreased urinary lysyl-pyridinoline-hydroxylysyl-pyridinoline ratio	4.2520165072717376e-05
Small anterior fontanelle	Increased serum leptin	4.433252921306609e-05
Inverted nipples	Butterfly vertebrae	6.265199784975147e-05
Aqueductal stenosis	Multiple digital exostoses	4.5130913499260864e-05
Wide-cupped costochondral junctions	Enlarged polycystic ovaries	4.1527089114850486e-05
Decreased number of sweat glands	Onychogryposis of toenails	0.23125370849169274
Elevated erythrocyte sedimentation rate	Talipes calcaneovarus	5.000878978756325e-05
Oral ulcer	Cerebral arteriovenous malformation	5.4544084512378e-05
Six lumbar vertebrae	Increased urinary 8-oxo-7,8-dihydroguanosine level	4.1527089114850486e-05
Multiple rib fractures	Odontogenic keratocysts of the jaw	4.325406564155514e-05
Limited neck range of motion	Loose anagen hair	4.325406564155514e-05
Hypoplasia of the femoral head	Simple febrile seizure	4.475678658742209e-05
Right ventricular outlet tract obstruction	Congenital hepatic fibrosis	4.433252921306609e-05
Interphalangeal joint erosions	Squamous cell carcinoma of the skin	4.754448578692532e-05
Agoraphobia	Calvarial skull defect	4.676934355271362e-05
Bulbar palsy	Increased intracellular sodium	4.952414116553882e-05
Oxycephaly	Facial hypotonia	0.1339873515203028
Small earlobe	Generalized limb muscle atrophy	5.2112345158839354e-05
Loss of voice	Endolymphatic sac tumor	9.435605386316377e-05
Congenital knee dislocation	Transient hyperlipidemia	3.993272169545075e-05
Spinocerebellar atrophy	Anterior segment of eye aplasia	4.2520165072717376e-05
Increased facial adipose tissue	Tricuspid valve prolapse	4.754448578692532e-05
Narrow maxilla	Increased carrying angle	0.10131710964472439
Tongue fasciculations	Positive Romberg sign	0.11442759667160102
Hypoplasia of the bladder	Cleft mandible	4.577027209409902e-05
Lip telangiectasia	Foveoschisis	4.697961363490384e-05
Decreased methionine synthase activity	Conus terminalis arteriovenous malformation	9.964387059618607e-05
Lack of insight	Elevated urinary norepinephrine	4.63062709617351e-05
Depressed nasal bridge	Hip subluxation	7.772901020993082e-05
Parkinsonism with favorable response to dopaminergic medication	Autophagic vacuoles	5.406232789246245e-05
Decreased serum estradiol	Marcus Gunn pupil	4.63062709617351e-05
Severely reduced visual acuity	Increased CSF interferon alpha	4.94196762868381e-05
Elevated plasma branched chain amino acids	Weak grip	3.993272169545075e-05
Penoscrotal hypospadias	Knee joint hypermobility	0.00010376994962935547
Increased CSF protein concentration	Hypoplastic left heart	0.00013176105666314348
Periportal fibrosis	Anterior vertebral fusion	4.6048912897620735e-05
Premature atrial contractions	Episodic hemiplegia	4.433252921306609e-05
Corneal crystals	Paraseptal emphysema	4.2520165072717376e-05
Chronic hemolytic anemia	Endometrial carcinoma	4.972512993112043e-05
Prominent nose	Osteosclerosis of the base of the skull	0.12770029495566715
Fetal polyuria	Narrow jaw	4.697961363490384e-05
Increased circulating ACTH level	Persistence of primary teeth	5.4134178713156775e-05
Renal artery stenosis	Postterm pregnancy	0.00010376994962935547
Accumulation of melanosomes in melanocytes	Lower limb hypertonia	5.035839919835104e-05
Trismus	Abnormality of primary molar morphology	0.1069347036931633
Progressive psychomotor deterioration	Anhidrotic ectodermal dysplasia	4.433252921306609e-05
Leukopenia	Mandibular condyle aplasia	5.301223762921065e-05
Impaired convergence	Midgut malrotation	4.325406564155514e-05
Increased intracellular sodium	Embryonal rhabdomyosarcoma	4.2520165072717376e-05
Increased renal tubular phosphate reabsorption	Proximal tibial hypoplasia	3.993272169545075e-05
Progressive ptosis	Oculogyric crisis	4.433252921306609e-05
Prolonged partial thromboplastin time	Hypoplasia of the lower eyelids	5.139110160925746e-05
Conjunctival telangiectasia	Molar tooth sign on MRI	6.117569565654452e-05
Duodenal adenocarcinoma	Keloids	4.7877152157943535e-05
Functional intestinal obstruction	Erosion of oral mucosa	3.993272169545075e-05
Nephropathy	Macular coloboma	5.633950201869397e-05
Pulmonary valve defects	Infection associated neutropenia	7.98654433909015e-05
Pallidal degeneration	Cervical spinal canal stenosis	4.1527089114850486e-05
Nephropathy	Hyponatremia	6.140732342303486e-05
Central hypoventilation	Bronchiolitis obliterans	0.22393710260087374
Avascular necrosis of the capital femoral epiphysis	Dental enamel pits	0.11012417551171355
Progeroid facial appearance	Mitochondrial respiratory chain defects	5.000878978756325e-05
Erysipelas	Cochlear aplasia	4.63062709617351e-05
Cystic renal dysplasia	Bifid ureter	0.3027012934013269
Urinary hesitancy	Glandular hypospadias	0.3654852475283606
Photophobia	Optic nerve compression	0.1542244867079528
Projectile vomiting	Pneumocystis jirovecii pneumonia	4.7877152157943535e-05
Ridged nail	Obstructive sleep apnea	6.298707769682495e-05
Median cleft lip	Subependymal giant-cell astrocytoma	4.885073886735671e-05
Small anterior fontanelle	Pulp calcification	0.11292744175689702
Iris coloboma	Torus palatinus	6.0010382147813336e-05
Keratoglobus	Recurrent deep vein thrombosis	4.5466147121112386e-05
Spastic tetraparesis	Elevated brain choline level by MRS	0.10701823314104696
Vertebral hyperostosis	Unilateral cleft palate	4.577027209409902e-05
Deficient excision of UV-induced pyrimidine dimers in DNA	Capillary leak	9.719461910870474e-05
Broad face	Abnormal rapid eye movement sleep	5.08325315417379e-05
Undetectable visual evoked potentials	Reduced amygdala volume	4.433252921306609e-05
Small earlobe	Aqueductal stenosis	5.4861080886907756e-05
Decreased circulating progesterone	Demyelinating sensory neuropathy	4.325406564155514e-05
Poor head control	Arteriosclerosis of small cerebral arteries	5.287418884943918e-05
Prominent sternum	Metopic synostosis	0.1626758376653308
Hypoglycemic seizures	Reduced factor VII activity	5.164509580017892e-05
Intermittent jaundice	Pyriform aperture stenosis	4.325406564155514e-05
Thickened calvaria	Macrocephaly at birth	0.18662029644971412
Normochromic anemia	No social interaction	4.803278487698834e-05
Generalized osteosclerosis	Gastric adenocarcinoma	4.513091349926087e-05
Molybdenum cofactor deficiency	Elevated brain choline level by MRS	4.697961363490384e-05
Syringomyelia	Stiff knee	0.00011639875847926845
Ovarian gonadoblastoma	Episodic generalized hypotonia	4.325406564155514e-05
Choroid plexus cyst	Third heart sound	0.0001072135125263395
Hepatocellular necrosis	Late-onset distal muscle weakness	4.754448578692532e-05
Peripheral dysmyelination	No social interaction	0.07129128707503574
Dilated third ventricle	Sebaceous gland carcinoma	4.384100649655963e-05
Otosclerosis	Recurrent otitis media	0.5882392738583102
Progressive encephalopathy	Graves disease	4.2520165072717376e-05
Generalized hirsutism	Low levels of vitamin B1	9.964387059618607e-05
Decreased T cell activation	Conus terminalis arteriovenous malformation	9.964387059618607e-05
Xanthine nephrolithiasis	Ascending aortic dissection	5.060226372522096e-05
Increased intracranial pressure	Mitochondrial depletion	4.787715215794353e-05
Fractured radius	Cat cry	3.993272169545075e-05
Embryonal rhabdomyosarcoma	Anterior lenticonus	4.5466147121112386e-05
Folate-unresponsive megaloblastic anemia	Progressive ophthalmoplegia	4.1527089114850486e-05
Lactose intolerance	Cerebral visual impairment	5.878562092565458e-05
Primary gonadal insufficiency	Sensory exotropia	4.1527089114850486e-05
Decreased miniature endplate potentials	Bronchiolitis obliterans	4.513091349926087e-05
Short femur	Neuronal loss in the cerebral cortex	5.035839919835104e-05
Preaxial hand polydactyly	Focal seizure with eyelid myoclonia	0.00012738301750678198
Primary hyperparathyroidism	Recurrent spontaneous abortion	5.035839919835104e-05
Intermittent thrombocytopenia	Severe influenza infection	4.577027209409902e-05
Infantile sensorineural hearing impairment	Small intestinal dysmotility	7.98654433909015e-05
Intermittent jaundice	Decreased circulating ferritin concentration	4.513091349926087e-05
Wide nasal bridge	Hypoplastic tricuspid valve	5.919576151454689e-05
Nonprogressive cerebellar ataxia	Increased carrying angle	4.5466147121112386e-05
Fetal polyuria	Bilateral microphthalmos	5.132517819247823e-05
Cholecystitis	Spondylitis	4.5130913499260864e-05
Sudden loss of visual acuity	Agenesis of mandibular premolar	0.0
Anterior tibial bowing	Notched T wave	4.2520165072717376e-05
Olivopontocerebellar atrophy	Pulmonary capillary hemangiomatosis	4.717802693158188e-05
Lumbar kyphoscoliosis	Decreased FasL-mediated apoptosis	4.1527089114850486e-05
Reticular hyperpigmentation	Small intestinal dysmotility	4.577027209409902e-05
Distal shortening of limbs	Diffuse telangiectasia	4.325406564155514e-05
Premature occlusive vascular stenosis	Severe muscular hypotonia	5.060226372522096e-05
Benign genitourinary tract neoplasm	Infantile encephalopathy	4.433252921306609e-05
Severe periodontitis	Impaired myocardial contractility	4.63062709617351e-05
Cavernous hemangioma of the face	Hip osteoarthritis	4.920200344776741e-05
Lacrimal duct atresia	Elevated gamma-glutamyltransferase level	5.492209511851603e-05
Adducted thumb	Extrapyramidal dyskinesia	5.651980813194554e-05
Decreased HDL cholesterol concentration	Bilateral cleft palate	5.8561395291641315e-05
Generalized lipodystrophy	Increased carotid artery intimal medial thickness	0.00010181308346727092
Ventricular septal hypertrophy	Coronary artery aneurysm	0.21889082071307106
Leukopenia	Laryngotracheal stenosis	5.301223762921065e-05
Long philtrum	Finger swelling	6.724675561532595e-05
Euthyroid hyperthyroxinemia	Unilateral external ear deformity	4.325406564155514e-05
Paroxysmal dystonia	Freckles in sun-exposed areas	4.717802693158188e-05
Esophageal stricture	Coombs-positive hemolytic anemia	5.139110160925746e-05
Impaired oxidative burst	Foot pain	4.717802693158188e-05
Split hand	Pulmonary venous occlusion	5.460915002756528e-05
Large foramen magnum	Increased cellular sensitivity to UV light	4.9202003447767416e-05
Genu recurvatum	Minimal change glomerulonephritis	5.6672653834287346e-05
Recurrent thrombophlebitis	Papillary renal cell carcinoma type 2	9.719461910870474e-05
Elevated right atrial pressure	Synovial hypertrophy	3.993272169545075e-05
Increased intracranial pressure	Smooth tongue	4.787715215794353e-05
Bruising susceptibility	Gonadal tissue inappropriate for external genitalia or chromosomal sex	5.352634826219504e-05
Duodenal adenocarcinoma	Placental abruption	4.325406564155514e-05
Central diabetes insipidus	Prolonged prothrombin time	5.510074585337536e-05
Arrhinencephaly	Hypoplasia of lymphatic vessels	4.885073886735671e-05
Anal atresia	Broad ulna	5.310200520062155e-05
Increased circulating ACTH level	Long thorax	4.982193529809303e-05
Nephronophthisis	Sudden episodic apnea	5.282722589173775e-05
Bone spicule pigmentation of the retina	Mesenteric venous thrombosis	5.1942933645766823e-05
Central scotoma	Diaphyseal thickening	5.391529164214544e-05
Decreased pyruvate carboxylase activity	Neck pain	4.63062709617351e-05
Anhidrotic ectodermal dysplasia	Post-partum hemorrhage	4.433252921306609e-05
Nonprogressive cerebellar ataxia	Lateral displacement of patellae	4.2520165072717376e-05
Diffuse telangiectasia	Cervical hemivertebrae	4.1527089114850486e-05
Menorrhagia	Absent hand	4.9312355433677e-05
Axonal loss	Multiple enchondromatosis	5.2112345158839354e-05
Sudanophilic leukodystrophy	Reduced intraabdominal adipose tissue	4.433252921306609e-05
Abetalipoproteinemia	Enlarged cochlear aqueduct	7.98654433909015e-05
Sudden cardiac death	Aplasia cutis congenita on trunk or limbs	5.612891729639459e-05
Unilateral ptosis	Laryngeal calcification	4.818212141725109e-05
Occipital encephalocele	Pulmonary thromboembolism	4.885073886735671e-05
Increased VLDL cholesterol concentration	Renal cortical adenoma	4.5130913499260864e-05
Microcornea	Ocular albinism	0.3888546650017257
Distal tibial bowing	Increased carotid artery intimal medial thickness	7.98654433909015e-05
Prominent frontal sinuses	Hypothalamic atrophy	7.98654433909015e-05
Protein avoidance	Microlissencephaly	4.697961363490384e-05
Calvarial skull defect	Six lumbar vertebrae	0.1359610193299145
Sparse facial hair	Synovial sarcoma	4.1527089114850486e-05
Hepatic periportal necrosis	Pancreatic alpha-cell hyperplasia	0.25302351973804177
Ovarian gonadoblastoma	Kernicterus	4.513091349926087e-05
Generalized joint laxity	Low serum calcitriol	4.818212141725109e-05
Muscle fiber splitting	Mandibular pain	0.07334658933369452
Microvesicular hepatic steatosis	High-frequency sensorineural hearing impairment	5.232854831112207e-05
Decreased circulating total IgA	Gonadotropin deficiency	4.803278487698834e-05
Compensated hemolytic anemia	Rectal abscess	4.717802693158188e-05
Elevated urinary epinephrine	Femoral spur	8.650813128311028e-05
Distal tibial bowing	Citrullinuria	3.993272169545075e-05
Neonatal hypoglycemia	Incomplete cleft of the upper lip	4.803278487698834e-05
Lop ear	Multiple mitochondrial DNA deletions	5.232854831112207e-05
Bone-marrow foam cells	Air bronchogram	4.475678658742209e-05
Intermittent thrombocytopenia	Myocardial sarcomeric disarray	4.384100649655963e-05
Nocturia	Nonketotic hyperglycinemia	4.325406564155514e-05
Rectoperineal fistula	Lichenoid skin lesion	9.093229424222477e-05
